Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024-07-14,Beau Brieske,DET,1,6,18,4,2,0,3,2,0,0,0,0,0,0.666666666,0.666666666,1.0,0.7140158613522848,26079
2024-04-17,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,14932
2024-04-23,Ben Lively,CLE,1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.2209837883710861,14932
2024-04-28,Ben Lively,CLE,1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3149090766906738,14932
2024-05-04,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,14932
2024-05-09,Ben Lively,CLE,1,5,9,2,2,0,1,1,0,0,0,0,0,0.4,0.4,0.8,0.5032449722290039,14932
2024-05-14,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,14932
2024-05-20,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,14932
2024-05-26,Ben Lively,CLE,1,4,0,0,0,0,0,0,0,1,0,0,1,0.0,0.25,0.0,0.1726525574922561,14932
2024-06-01,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14932
2024-06-08,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14932
2024-06-16,Ben Lively,CLE,1,6,0,2,0,0,0,0,0,1,0,0,1,0.4,0.5,0.4,0.4097467561562856,14932
2024-06-22,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,14932
2024-06-27,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,14932
2024-07-04,Ben Lively,CLE,1,4,0,0,0,0,0,0,0,1,0,0,2,0.0,0.25,0.0,0.1726525574922561,14932
2024-07-09,Ben Lively,CLE,1,4,0,0,0,0,0,0,0,1,0,0,2,0.0,0.25,0.0,0.1726525574922561,14932
2024-07-14,Ben Lively,CLE,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14932
2024-04-08,Blake Snell,SFG,1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.2209837883710861,13543
2024-04-14,Blake Snell,SFG,1,6,27,3,1,0,3,3,1,0,0,0,1,0.5,0.5,1.166666666,0.699739803870519,13543
2024-04-19,Blake Snell,SFG,1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.2209837883710861,13543
2024-05-22,Blake Snell,SFG,1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.2209837883710861,13543
2024-05-27,Blake Snell,SFG,1,4,0,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0.3145281076431274,13543
2024-06-02,Blake Snell,SFG,1,5,9,2,0,0,1,1,1,0,0,0,2,0.4,0.4,1.0,0.5880652785301208,13543
2024-07-09,Blake Snell,SFG,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,13543
2024-07-14,Blake Snell,SFG,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,13543
