pitcher_names,playerId
Carlos Rodon,16137
Dean Kremer,19350
Brady Singer,25377
Brayan Bello,23920
Joey Estes,26257
Beau Brieske,26079
German Marquez,15038
Jose Quintana,11423
Ben Lively,14932
Ryan Pepiot,26221
Trevor Rogers,22286
Nick Lodolo,26378
Max Scherzer,3137
Ronel Blanco,19407
Mitch Keller,17594
Jared Shuster,27472
Jake Irvin,21504
Colin Rea,12317
Jameson Taillon,11674
Miles Mikolas,9803
Chris Paddack,20099
Blake Snell,13543
Logan Gilbert,22250
Carson Fulmer,18311
Yusei Kikuchi,20633
Zac Gallen,19291
Chris Sale,10603
Randy Vasquez,24719
