Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"2024-03-28","Brayan Bello","BOS",1,4,0,2,1,0,0,0,0,0,0,0,0,0.5,0.5,0.75,0.5359718352556229,23920
"2024-03-28","Miles Mikolas","STL",1,6,18,3,1,0,2,2,0,1,0,0,1,0.75,0.666666666,1,0.6198460857073466,9803
"2024-03-28","Zac Gallen","ARI",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19291
"2024-03-28","Mitch Keller","PIT",1,3,0,1,0,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.29482024908065796,17594
"2024-03-29","Jose Quintana","NYM",1,4,0,1,0,0,0,0,0,1,0,0,1,0.333333333,0.5,0.333333333,0.39379729330539703,11423
"2024-03-29","Carlos Rodon","NYY",1,5,9,2,1,0,1,1,0,0,0,0,1,0.4,0.4,0.6,0.4287774682044983,16137
"2024-03-30","Yusei Kikuchi","TOR",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,20633
"2024-03-30","Logan Gilbert","SEA",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22250
"2024-03-31","Chris Sale","ATL",1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1,0.5149495005607605,10603
"2024-03-31","Colin Rea","MIL",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.22111518681049347,12317
"2024-03-31","Jake Irvin","WSN",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21504
"2024-03-31","Brady Singer","KCR",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25377
"2024-03-31","Trevor Rogers","MIA",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22286
"2024-04-01","Dean Kremer","BAL",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19350
"2024-04-01","Ryan Pepiot","TBR",1,6,27,1,0,0,3,3,1,2,0,0,0,0.25,0.5,1,0.5735424757003784,26221
"2024-04-01","Ronel Blanco","HOU",1,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17268210649490356,19407
"2024-04-02","Brayan Bello","BOS",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23920
"2024-04-02","Miles Mikolas","STL",1,4,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.17268210649490356,9803
"2024-04-02","Zac Gallen","ARI",1,4,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0.34536421298980713,19291
"2024-04-03","Carlos Rodon","NYY",1,4,0,1,1,0,0,0,0,0,0,0,1,0.25,0.25,0.5,0.3148566484451294,16137
"2024-04-03","Chris Paddack","MIN",1,5,0,2,0,0,0,0,0,1,0,0,1,0.5,0.6,0.5,0.4919299840927124,20099
"2024-04-03","Mitch Keller","PIT",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17594
"2024-04-05","Logan Gilbert","SEA",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22250
"2024-04-05","Jose Quintana","NYM",1,5,9,1,0,0,1,1,1,1,0,0,1,0.25,0.4,1,0.5501052856445312,11423
"2024-04-05","Brady Singer","KCR",1,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.23024280865987143,25377
"2024-04-05","Yusei Kikuchi","TOR",1,4,0,0,0,0,0,0,0,1,0,0,1,0,0.25,0,0.17268210649490356,20633
"2024-04-06","Trevor Rogers","MIA",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22286
"2024-04-06","Jake Irvin","WSN",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21504
"2024-04-07","Ronel Blanco","HOU",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19407
"2024-04-07","Colin Rea","MIL",1,5,0,2,0,0,1,0,0,0,0,0,1,0.4,0.4,0.4,0.35378429889678953,12317
"2024-04-07","Dean Kremer","BAL",1,4,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.22111518681049347,19350
"2024-04-07","Ryan Pepiot","TBR",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,26221
"2024-04-07","Chris Sale","ATL",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10603
"2024-04-08","Zac Gallen","ARI",1,5,9,2,0,1,1,1,0,0,0,0,2,0.4,0.4,0.8,0.4962713360786438,19291
"2024-04-08","Mitch Keller","PIT",1,5,9,1,0,0,1,1,0,2,0,0,2,0.333333333,0.6,0.333333333,0.45318351984024047,17594
"2024-04-08","Blake Snell","SFG",1,4,0,1,0,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.22111518681049347,13543
"2024-04-08","Miles Mikolas","STL",1,5,0,0,0,0,0,0,0,2,0,0,0,0,0.4,0,0.2762913703918457,9803
"2024-04-09","Brayan Bello","BOS",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23920
"2024-04-09","Carlos Rodon","NYY",1,4,0,0,0,0,0,0,0,1,0,0,2,0,0.25,0,0.17268210649490356,16137
"2024-04-10","Yusei Kikuchi","TOR",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20633
"2024-04-10","Logan Gilbert","SEA",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22250
"2024-04-10","Chris Paddack","MIN",1,6,9,2,1,0,1,1,0,1,0,0,0,0.4,0.5,0.6,0.47243596116701764,20099
"2024-04-11","Jose Quintana","NYM",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11423
"2024-04-11","Brady Singer","KCR",1,4,0,1,1,0,0,0,0,1,0,0,1,0.333333333,0.5,0.666666666,0.48753875494003296,25377
"2024-04-12","Jake Irvin","WSN",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21504
"2024-04-12","Trevor Rogers","MIA",1,5,9,2,1,0,1,1,0,0,0,0,2,0.4,0.4,0.6,0.4287774682044983,22286
"2024-04-13","Dean Kremer","BAL",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19350
"2024-04-13","Chris Sale","ATL",1,5,9,1,0,0,1,1,1,1,0,0,1,0.25,0.4,1,0.5501052856445312,10603
"2024-04-13","Ronel Blanco","HOU",1,6,18,2,0,0,2,2,0,2,0,0,0,0.5,0.666666666,0.5,0.5250630577405294,19407
"2024-04-13","Nick Lodolo","CIN",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,26378
